year,player,team,age,pos,g,gs,punt_ret,punt_ret_yds,punt_ret_td,punt_ret_long,punt_ret_yds_per_ret,kick_ret,kick_ret_yds,kick_ret_td,kick_ret_long,kick_ret_yds_per_ret,all_purpose_yds
2018,Danny Johnson,WAS,23,db,14,1,,,,,,12,283,0,44,23.6,283
2018,T.J. Jones,DET,26,wr,15,3,8,87,0,25,10.9,4,81,0,22,20.3,358
2018,T.J. Logan,ARI,24,,10,0,,,,,,12,296,0,36,24.7,335
2018,Tramon Williams,GNB,35,cb/S,16,16,12,83,0,23,6.9,,,,,,83
2018,Danny Amendola,MIA,33,WR,15,15,11,59,0,12,5.4,,,,,,632
2018,Dontrell Hilliard,CLE,23,,11,0,,,,,,11,264,0,31,24.0,369
2018,Tommylee Lewis,NOR,26,wr,7,3,8,60,0,17,7.5,3,69,0,26,23.0,199
2018,D.J. Moore,CAR,21,WR,16,10,6,32,0,15,5.3,5,119,0,32,23.8,1111
2018,D.J. Reed,SFO,22,db/fs,15,2,,,,,,11,332,0,90,30.2,332
2018,,,,,,,,,,,,,,,,,
2018,Darren Sproles,PHI,35,rb,6,2,10,83,0,14,8.3,1,2,0,2,2.0,365
2018,Trent Taylor,SFO,24,,14,0,10,78,0,18,7.8,1,15,0,15,15.0,308
2018,Tavon Austin,DAL,28,,7,0,10,58,0,22,5.8,,,,,,253
2018,Devontae Booker,DEN,26,,16,0,,,,,,10,234,0,35,23.4,692
2018,Kenyan Drake,MIA,24,rb,16,7,,,,,,10,213,0,26,21.3,1225
